,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
140,14081,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
141,14082,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
142,14083,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
143,14084,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
144,14087,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
145,14088,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
146,14089,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
147,14090,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
148,14091,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
149,14092,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
150,14093,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
151,14094,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
152,14095,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0
153,14096,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
154,14097,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0
155,14098,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
156,14099,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
157,14100,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
158,14101,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
159,14102,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
160,14103,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
161,14104,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
